"","PATENT","GYEAR","CRECEIVE","CAT","CLAIMS","CMADE","GENERAL","ORIGINAL","FWDAPLAG","BCKGTLAG","CRECbinary","CAT01","CAT02","CAT03","CAT04","CAT05","CAT06","CRECordinal","CRECEIVEsqrt"
"83",5047340,1991,3,3,18,3,0.4444,0,5.3333,8.3333,1,0,0,1,0,0,0,3,1.73205080756888
"84",5053665,1991,5,4,1,6,0,0.4444,5.6,32.3333,1,0,0,0,1,0,0,5,2.23606797749979
"85",4994050,1991,2,3,27,19,0,0.1884,4.5,7.2105,1,0,0,1,0,0,0,2,1.4142135623731
"86",5002746,1991,6,1,9,14,0.5,0,3.5,11.6429,1,1,0,0,0,0,0,6,2.44948974278318
"87",5111919,1992,0,6,1,8,0,0.72,10.5,21.875,0,0,0,0,0,0,1,0,0
"88",5228978,1993,1,1,19,4,0,0,0,3,1,1,0,0,0,0,0,1,1
"89",4949226,1990,8,4,15,5,0,0,3.25,2,1,0,0,0,1,0,0,8,2.82842712474619
"90",4894710,1990,0,4,8,11,0,0.314,10.5,7,0,0,0,0,1,0,0,0,0
"91",5249430,1993,0,6,16,1,0,0,10.5,6,0,0,0,0,0,0,1,0,0
"92",5345000,1994,3,1,20,4,0,0,2.3333,6.5,1,1,0,0,0,0,0,3,1.73205080756888
"93",5398825,1995,0,5,12,17,0,0.6627,10.5,22.0588,0,0,0,0,0,1,0,0,0
"94",5217317,1993,9,6,14,16,0.716,0.5926,5,32.875,1,0,0,0,0,0,1,9,3
"95",5375303,1994,0,6,10,12,0,0,10.5,31,0,0,0,0,0,0,1,0,0
"96",5388014,1995,6,2,15,9,0,0.1975,3.5,11.1111,1,0,1,0,0,0,0,6,2.44948974278318
"97",5346448,1994,3,5,20,23,0.4444,0,3.6667,13.7391,1,0,0,0,0,1,0,3,1.73205080756888
"98",5023117,1991,1,6,8,7,0,0.625,6,27.4286,1,0,0,0,0,0,1,1,1
"99",5128901,1992,4,2,45,7,0.625,0,4.5,13.5714,1,0,1,0,0,0,0,4,2
"100",4928340,1990,2,6,9,8,0,0.2778,5,21.875,1,0,0,0,0,0,1,2,1.4142135623731
"101",5007108,1991,6,6,18,9,0,0,4.1667,12.1111,1,0,0,0,0,0,1,6,2.44948974278318
"102",5131263,1992,6,4,9,4,0,0.625,4.3333,5.5,1,0,0,0,1,0,0,6,2.44948974278318
"103",5432551,1995,4,4,13,3,0.625,0.6667,5.25,8,1,0,0,0,1,0,0,4,2
"104",5026771,1991,3,1,26,7,0.6667,0.6122,1.6667,6.8571,1,1,0,0,0,0,0,3,1.73205080756888
"105",5064451,1991,5,1,11,15,0.32,0.6446,5.2,21,1,1,0,0,0,0,0,5,2.23606797749979
"106",5146117,1992,5,4,17,4,0.56,0.375,4.8,8,1,0,0,0,1,0,0,5,2.23606797749979
"107",5300729,1994,3,6,14,9,0,0,5.3333,6,1,0,0,0,0,0,1,3,1.73205080756888
"108",5371283,1994,5,1,20,4,0.48,0.625,3,6.25,1,1,0,0,0,0,0,5,2.23606797749979
"109",5046985,1991,5,6,6,27,0.32,0.2778,5.4,40.1111,1,0,0,0,0,0,1,5,2.23606797749979
"110",5020592,1991,4,6,9,10,0,0,4.5,6.1,1,0,0,0,0,0,1,4,2
"111",4977968,1990,1,6,33,3,0,0.4444,5,3.6667,1,0,0,0,0,0,1,1,1
"112",5071357,1991,4,4,17,15,0,0.2722,2.5,16.4667,1,0,0,0,1,0,0,4,2
"113",5409404,1995,4,4,5,8,0.375,0.4688,2.25,17.375,1,0,0,0,1,0,0,4,2
"114",5225851,1993,5,2,13,8,0.48,0.6875,4.8,6.375,1,0,1,0,0,0,0,5,2.23606797749979
"115",5364693,1994,7,1,38,36,0.6939,0.8228,2.7143,12.2778,1,1,0,0,0,0,0,7,2.64575131106459
"116",5470544,1995,4,1,6,3,0.625,0,2.75,20.6667,1,1,0,0,0,0,0,4,2
"117",5415757,1995,9,1,23,9,0.1975,0.375,2.7778,9.5556,1,1,0,0,0,0,0,9,3
"118",5309827,1994,2,6,14,14,0,0.5455,4,22.9286,1,0,0,0,0,0,1,2,1.4142135623731
"119",5313819,1994,0,4,9,6,0,0,10.5,4.3333,0,0,0,0,1,0,0,0,0
"120",5312761,1994,1,1,19,10,0,0.66,4,15.9,1,1,0,0,0,0,0,1,1
"121",5109938,1992,2,5,18,5,0.5,0,5,35.8,1,0,0,0,0,1,0,2,1.4142135623731
"122",4899458,1990,5,6,19,11,0.32,0.5185,5.2,18.2727,1,0,0,0,0,0,1,5,2.23606797749979
"123",5169735,1992,4,4,29,21,0.5,0.3045,4,23.8571,1,0,0,0,1,0,0,4,2
"124",4949692,1990,9,5,6,5,0,0.48,6.1111,3.6,1,0,0,0,0,1,0,9,3
"125",5459342,1995,5,4,10,7,0.48,0.5714,3.2,1.4286,1,0,0,0,1,0,0,5,2.23606797749979
"126",5394596,1995,3,6,24,3,0.4444,0,2.3333,41.6667,1,0,0,0,0,0,1,3,1.73205080756888
"127",5294497,1994,1,4,7,4,0,0.375,3,17.25,1,0,0,0,1,0,0,1,1
"128",5117630,1992,1,4,8,4,0,0.375,1,5.5,1,0,0,0,1,0,0,1,1
"129",5243347,1993,8,2,17,7,0,0,3.125,7.1429,1,0,1,0,0,0,0,8,2.82842712474619
"130",5382082,1995,1,6,15,4,0,0.5,4,8.75,1,0,0,0,0,0,1,1,1
"131",5081805,1992,6,6,8,15,0.5,0.6154,4,17.7333,1,0,0,0,0,0,1,6,2.44948974278318
"132",5323937,1994,2,1,9,8,0,0.2449,4,14.75,1,1,0,0,0,0,0,2,1.4142135623731
"133",4932275,1990,1,5,6,7,0,0.625,7,18.1429,1,0,0,0,0,1,0,1,1
"134",5342548,1994,0,1,4,12,0,0.7778,10.5,11.8333,0,1,0,0,0,0,0,0,0
"135",5199102,1993,9,2,1,2,0.6173,0,2.1111,4.5,1,0,1,0,0,0,0,9,3
"136",5164403,1992,1,3,26,0,0,1,6,85.1429,1,0,0,1,0,0,0,1,1
"137",5471991,1995,4,3,10,5,0.75,0.32,3,5,1,0,0,1,0,0,0,4,2
"138",4965812,1990,5,6,11,4,0.32,0,4.2,6.5,1,0,0,0,0,0,1,5,2.23606797749979
"139",5029729,1991,2,1,6,20,0.5,0.8203,6.5,19.35,1,1,0,0,0,0,0,2,1.4142135623731
"140",5368959,1994,7,4,12,11,0.2449,0.2975,2.5714,6.5455,1,0,0,0,1,0,0,7,2.64575131106459
"141",5079783,1992,3,6,14,26,0,0.1049,3.3333,26.8462,1,0,0,0,0,0,1,3,1.73205080756888
"142",4975475,1990,7,1,6,3,0.6122,0.6667,3.7143,5,1,1,0,0,0,0,0,7,2.64575131106459
"143",5218647,1993,4,2,10,6,0.375,0.6111,3.25,3,1,0,1,0,0,0,0,4,2
"144",5101020,1992,5,1,1,1,0.56,1,4.4,41,1,1,0,0,0,0,0,5,2.23606797749979
"145",5036134,1991,1,1,10,1,0,0,1,25,1,1,0,0,0,0,0,1,1
"146",5174140,1992,1,6,6,7,0,0,2,32.5714,1,0,0,0,0,0,1,1,1
"147",5049846,1991,5,4,4,6,0.48,0.2778,1.8,9.1667,1,0,0,0,1,0,0,5,2.23606797749979
"148",5414562,1995,10,5,8,1,0.32,0,2.3,1,1,0,0,0,0,1,0,10,3.16227766016838
"149",5422815,1995,6,2,8,5,0.2778,0.56,2.8333,2,1,0,1,0,0,0,0,6,2.44948974278318
"150",5217536,1993,3,1,4,6,0.6667,0.625,4.3333,24.1667,1,1,0,0,0,0,0,3,1.73205080756888
"151",4975173,1990,7,1,33,8,0.2449,0,4.2857,14.5,1,1,0,0,0,0,0,7,2.64575131106459
"152",5277381,1994,0,5,5,5,0,0,10.5,30.8,0,0,0,0,0,1,0,0,0
"153",5284452,1994,0,6,7,5,0,0.72,10.5,9.2,0,0,0,0,0,0,1,0,0
"154",5298400,1994,0,3,11,1,0,0,10.5,9,0,0,0,1,0,0,0,0,0
"155",5236300,1993,2,5,9,7,0.5,0.56,4,18.7143,1,0,0,0,0,1,0,2,1.4142135623731
"156",5442281,1995,1,4,37,26,0,0.8128,3,13.0769,1,0,0,0,1,0,0,1,1
"157",5253472,1993,2,4,5,11,0,0.64,5,29.4545,1,0,0,0,1,0,0,2,1.4142135623731
"158",5264011,1993,7,5,20,10,0.8163,0.48,3,8.3,1,0,0,0,0,1,0,7,2.64575131106459
"159",5388179,1995,0,4,3,7,0,0.5,10.5,50.8571,0,0,0,0,1,0,0,0,0
"160",5336122,1994,0,6,10,5,0,0.5,10.5,44.2,0,0,0,0,0,0,1,0,0
"161",5001514,1991,0,5,16,6,0,0,10.5,11.6667,0,0,0,0,0,1,0,0,0
"162",5478540,1995,0,1,20,8,0,0.64,10.5,24,0,1,0,0,0,0,0,0,0
"163",5090274,1992,3,5,6,8,0,0,2.3333,30.625,1,0,0,0,0,1,0,3,1.73205080756888
"164",5440360,1995,0,3,11,13,0,0,10.5,18.5385,0,0,0,1,0,0,0,0,0
"165",5065186,1991,1,4,6,11,0,0.7769,2,5.8182,1,0,0,0,1,0,0,1,1
"166",5193431,1993,4,5,9,6,0.625,0.5,4.75,10,1,0,0,0,0,1,0,4,2
"167",5019505,1991,1,3,8,4,0,0,8,10,1,0,0,1,0,0,0,1,1
"168",5137983,1992,0,1,10,9,0,0.6122,10.5,22.4444,0,1,0,0,0,0,0,0,0
"169",5432155,1995,8,3,13,3,0.4063,0.6667,3.625,5.3333,1,0,0,1,0,0,0,8,2.82842712474619
"170",4891904,1990,1,6,3,3,0,0,3,10.3333,1,0,0,0,0,0,1,1,1
"171",5232267,1993,5,6,1,6,0.64,0.375,4.2,26.3333,1,0,0,0,0,0,1,5,2.23606797749979
"172",5293745,1994,0,4,13,28,0,0.5778,10.5,32.6071,0,0,0,0,1,0,0,0,0
"173",4990504,1991,1,3,6,0,0,1,6,85.1429,1,0,0,1,0,0,0,1,1
"174",5366618,1994,2,1,14,15,0.5,0.3704,2,36.8667,1,1,0,0,0,0,0,2,1.4142135623731
"175",5247475,1993,1,2,5,4,0,0,4,21.25,1,0,1,0,0,0,0,1,1
"176",5320214,1994,1,5,23,5,0,0.72,2,10,1,0,0,0,0,1,0,1,1
"177",5071151,1991,2,5,13,5,0.5,0.4444,6,27.4,1,0,0,0,0,1,0,2,1.4142135623731
"178",5382752,1995,3,4,17,14,0,0.4028,3.6667,18.1429,1,0,0,0,1,0,0,3,1.73205080756888
"179",5453721,1995,1,2,3,0,0,1,4,85.1429,1,0,1,0,0,0,0,1,1
"180",5446626,1995,3,4,16,7,0.4444,0.7347,2.3333,6.1429,1,0,0,0,1,0,0,3,1.73205080756888
"181",5327323,1994,3,4,3,4,0.4444,0.625,3.6667,5.25,1,0,0,0,1,0,0,3,1.73205080756888
"182",5267775,1993,4,6,11,12,0.625,0.4861,4,8.5,1,0,0,0,0,0,1,4,2
"183",4942817,1990,2,1,9,4,0,0.375,3,9.75,1,1,0,0,0,0,0,2,1.4142135623731
"184",5434150,1995,7,3,8,3,0.2449,0.6667,4.1429,14.3333,1,0,0,1,0,0,0,7,2.64575131106459
"185",5346131,1994,3,5,11,3,0,0,1.6667,9.6667,1,0,0,0,0,1,0,3,1.73205080756888
"186",5033791,1991,7,6,9,4,0,0,5.7143,3.25,1,0,0,0,0,0,1,7,2.64575131106459
"187",5453218,1995,1,1,46,1,0,0,1,4,1,1,0,0,0,0,0,1,1
"188",5471628,1995,3,2,11,21,0.4444,0.6939,4.6667,8.4762,1,0,1,0,0,0,0,3,1.73205080756888
"189",4930723,1990,4,5,6,4,0,0,1,3.75,1,0,0,0,0,1,0,4,2
"190",5421019,1995,6,2,43,30,0.6111,0.8089,3.3333,11.1333,1,0,1,0,0,0,0,6,2.44948974278318
"191",5010871,1991,2,3,6,5,0,0.4444,5.5,24,1,0,0,1,0,0,0,2,1.4142135623731
"192",5290293,1994,6,3,13,19,0,0.5928,2.3333,4,1,0,0,1,0,0,0,6,2.44948974278318
"193",5414222,1995,3,4,4,3,0.6667,0.4444,1.3333,8.6667,1,0,0,0,1,0,0,3,1.73205080756888
"194",5173213,1992,3,1,5,10,0.6667,0.6,3.6667,8.2,1,1,0,0,0,0,0,3,1.73205080756888
"195",5213596,1993,8,1,12,5,0.2188,0.56,4,9.8,1,1,0,0,0,0,0,8,2.82842712474619
"196",4956672,1990,3,5,5,23,0.6667,0.5028,4,7.1739,1,0,0,0,0,1,0,3,1.73205080756888
"197",5041757,1991,4,4,19,8,0.625,0.4063,1,7.5,1,0,0,0,1,0,0,4,2
"198",5103103,1992,2,4,26,4,0.5,0.75,2.5,11.75,1,0,0,0,1,0,0,2,1.4142135623731
"199",5074003,1991,4,1,21,12,0.625,0.4861,5.5,19.5833,1,1,0,0,0,0,0,4,2
"200",4905950,1990,5,6,24,17,0.8,0.6,4.2,30.7059,1,0,0,0,0,0,1,5,2.23606797749979
"201",5341257,1994,3,2,3,1,0,0,3.3333,1,1,0,1,0,0,0,0,3,1.73205080756888
"202",5034328,1991,4,3,1,1,0.625,0,4.75,4,1,0,0,1,0,0,0,4,2
"203",5042990,1991,1,1,6,16,0,0.56,3,13.25,1,1,0,0,0,0,0,1,1
"204",4960657,1990,2,4,2,3,0,0,4,14,1,0,0,0,1,0,0,2,1.4142135623731
"205",4977964,1990,0,6,15,12,0,0.6942,10.5,16.9167,0,0,0,0,0,0,1,0,0
"206",5005986,1991,5,4,12,7,0.32,0.8163,3.4,7.1429,1,0,0,0,1,0,0,5,2.23606797749979
"207",5140820,1992,2,4,3,2,0.5,0,5.5,13,1,0,0,0,1,0,0,2,1.4142135623731
"208",5462141,1995,3,5,43,24,0,0.741,3.3333,15.5833,1,0,0,0,0,1,0,3,1.73205080756888
"209",5379132,1995,3,5,18,23,0.6667,0.4764,2.3333,10.3478,1,0,0,0,0,1,0,3,1.73205080756888
"210",5285812,1994,9,6,10,14,0.1975,0.2551,3.5556,18.4286,1,0,0,0,0,0,1,9,3
"211",5013462,1991,7,6,24,30,0.7755,0.7526,3.7143,11.7,1,0,0,0,0,0,1,7,2.64575131106459
"212",4928261,1990,1,2,4,5,0,0,9,4.6,1,0,1,0,0,0,0,1,1
"213",5402400,1995,5,2,23,6,0.56,0.2778,2.4,3,1,0,1,0,0,0,0,5,2.23606797749979
"214",5162025,1992,0,5,6,12,0,0.6446,10.5,12.8333,0,0,0,0,0,1,0,0,0
"215",4977382,1990,3,2,24,5,0.6667,0,7.3333,4.4,1,0,1,0,0,0,0,3,1.73205080756888
"216",5016764,1991,3,6,24,11,0,0.6914,6,16.7273,1,0,0,0,0,0,1,3,1.73205080756888
"217",5301661,1994,1,3,9,8,0,0.4082,3,13.75,1,0,0,1,0,0,0,1,1
"218",5423766,1995,10,3,14,5,0,0,2.6,2,1,0,0,1,0,0,0,10,3.16227766016838
"219",5187629,1993,0,2,20,5,0,0.48,10.5,8.8,0,0,1,0,0,0,0,0,0
"220",5195688,1993,1,5,12,8,0,0.6111,2,29,1,0,0,0,0,1,0,1,1
"221",5476520,1995,0,5,8,4,0,0.625,10.5,11.5,0,0,0,0,0,1,0,0,0
"222",4985846,1991,4,2,5,14,0.625,0.6122,5.75,7.1429,1,0,1,0,0,0,0,4,2
"223",5084345,1992,3,6,5,16,0.4444,0.8594,3.3333,7.25,1,0,0,0,0,0,1,3,1.73205080756888
"224",5218002,1993,2,3,3,2,0,0.5,3.5,18,1,0,0,1,0,0,0,2,1.4142135623731
"225",5237009,1993,2,1,4,7,0.5,0.449,5,6,1,1,0,0,0,0,0,2,1.4142135623731
"226",5230521,1993,5,6,2,16,0,0.3467,3.2,9.875,1,0,0,0,0,0,1,5,2.23606797749979
"227",5170875,1992,2,5,16,6,0,0,5,62.3333,1,0,0,0,0,1,0,2,1.4142135623731
"228",4962087,1990,6,4,10,1,0.2778,0,5,8,1,0,0,0,1,0,0,6,2.44948974278318
"229",4993456,1991,4,6,14,12,0.625,0.6,2.5,19.1667,1,0,0,0,0,0,1,4,2
"230",5140740,1992,4,5,19,5,0,0,5.25,7.6,1,0,0,0,0,1,0,4,2
"231",5460204,1995,0,6,8,4,0,0.625,10.5,16,0,0,0,0,0,0,1,0,0
"232",5037064,1991,2,5,15,3,0.5,0.4444,3.5,7.6667,1,0,0,0,0,1,0,2,1.4142135623731
"233",5432780,1995,8,2,11,13,0.5938,0.3787,2.875,14.9231,1,0,1,0,0,0,0,8,2.82842712474619
"234",5132174,1992,3,4,3,2,0,0,9.3333,12,1,0,0,0,1,0,0,3,1.73205080756888
"235",5450930,1995,7,5,9,28,0.6531,0.7781,2.5714,10.1786,1,0,0,0,0,1,0,7,2.64575131106459
"236",5436582,1995,1,4,4,2,0,0.5,0,12.5,1,0,0,0,1,0,0,1,1
"237",5414209,1995,4,6,8,4,0,0,2.25,2.75,1,0,0,0,0,0,1,4,2
"238",5457100,1995,0,3,11,10,0,0.42,10.5,5.9,0,0,0,1,0,0,0,0,0
"239",5331798,1994,1,6,35,15,0,0,2,13,1,0,0,0,0,0,1,1,1
"240",5199453,1993,0,6,4,8,0,0.2778,10.5,24.875,0,0,0,0,0,0,1,0,0
"241",5304817,1994,2,4,7,1,0,0,4.5,1,1,0,0,0,1,0,0,2,1.4142135623731
"242",5136559,1992,2,2,7,6,0,0,4.5,3.6667,1,0,1,0,0,0,0,2,1.4142135623731
"243",5459023,1995,1,1,11,2,0,0,0,5.5,1,1,0,0,0,0,0,1,1
"244",4960552,1990,5,5,1,5,0.48,0.72,4.2,5.6,1,0,0,0,0,1,0,5,2.23606797749979
"245",5107652,1992,7,6,8,5,0.449,0.4444,5.4286,26.4,1,0,0,0,0,0,1,7,2.64575131106459
"246",5441894,1995,1,1,11,22,0,0.814,3,7.1818,1,1,0,0,0,0,0,1,1
"247",5014690,1991,4,3,17,8,0,0,3.75,16.125,1,0,0,1,0,0,0,4,2
"248",5433414,1995,3,6,2,15,0.4444,0.5139,3.3333,18.8,1,0,0,0,0,0,1,3,1.73205080756888
"249",5109020,1992,0,3,3,1,0,0,10.5,4,0,0,0,1,0,0,0,0,0
"250",5052792,1991,8,5,20,9,0,0,4,17,1,0,0,0,0,1,0,8,2.82842712474619
"251",4909889,1990,1,1,5,12,0,0,3,50.25,1,1,0,0,0,0,0,1,1
"252",4960868,1990,1,1,11,2,0,0.5,0,4,1,1,0,0,0,0,0,1,1
"253",4915963,1990,6,6,3,7,0.7778,0.7222,2.5,12.1429,1,0,0,0,0,0,1,6,2.44948974278318
"254",5186081,1993,5,5,7,11,0.64,0.6777,4.2,4.4545,1,0,0,0,0,1,0,5,2.23606797749979
"255",5183700,1993,7,6,8,7,0.4082,0.5,5,17.5714,1,0,0,0,0,0,1,7,2.64575131106459
"256",5257945,1993,3,4,7,5,0,0,3.6667,12.4,1,0,0,0,1,0,0,3,1.73205080756888
