"","PATENT","GYEAR","CRECEIVE","CAT","CLAIMS","CMADE","GENERAL","ORIGINAL","FWDAPLAG","BCKGTLAG","CRECbinary","CAT01","CAT02","CAT03","CAT04","CAT05","CAT06","CRECordinal","CRECmdnSplt"
"71",5345683,1994,1,6,2,9,0,0.5679,4,8.1111,1,0,0,0,0,0,1,1,0
"72",5283483,1994,8,4,11,0,0.75,1,1.5,85.1429,1,0,0,0,1,0,0,8,1
"73",5227298,1993,14,3,12,5,0.4592,0.56,5.2857,6.8,1,0,0,1,0,0,0,14,1
"74",5158813,1992,0,6,13,1,0,0,10.5,4,0,0,0,0,0,0,1,0,0
"75",5247640,1993,4,2,6,1,0.375,0,5,4,1,0,1,0,0,0,0,4,1
"76",5011593,1991,7,1,19,6,0.5714,0.5,5.8571,11.1667,1,1,0,0,0,0,0,7,1
"77",5225786,1993,1,4,4,3,0,0.5,6,19.6667,1,0,0,0,1,0,0,1,0
"78",5437308,1995,0,6,6,10,0,0.5625,10.5,18.2,0,0,0,0,0,0,1,0,0
"79",5126896,1992,2,2,34,4,0,0,7,4.25,1,0,1,0,0,0,0,2,0
"80",5364416,1994,1,1,9,2,0,0,4,6.5,1,1,0,0,0,0,0,1,0
"81",5350292,1994,5,4,20,3,0,0,4,14.6667,1,0,0,0,1,0,0,5,1
"82",5039824,1991,23,4,3,1,0.707,0,4.3478,18,1,0,0,0,1,0,0,15,1
"83",5207347,1993,2,6,5,13,0.5,0.6122,3,45.0769,1,0,0,0,0,0,1,2,0
"84",5100791,1992,1,3,18,12,0,0,4,7.5833,1,0,0,1,0,0,0,1,0
"85",4917633,1990,4,4,7,5,0,0,4.25,18.2,1,0,0,0,1,0,0,4,1
"86",5025844,1991,2,5,6,7,0,0,1.5,11.8571,1,0,0,0,0,1,0,2,0
"87",5307510,1994,12,2,1,6,0.2917,0.6111,2.75,7.3333,1,0,1,0,0,0,0,12,1
"88",5029727,1991,0,5,1,3,0,0,10.5,38.3333,0,0,0,0,0,1,0,0,0
"89",5438640,1995,1,2,18,3,0,0,1,10,1,0,1,0,0,0,0,1,0
"90",5362502,1994,7,6,14,8,0.5714,0,2.1429,10.875,1,0,0,0,0,0,1,7,1
"91",5313698,1994,1,5,9,2,0,0,3,44.5,1,0,0,0,0,1,0,1,0
"92",5042972,1991,6,6,4,3,0,0,8,6,1,0,0,0,0,0,1,6,1
"93",4987674,1991,7,5,10,1,0.4898,0,3.7143,12,1,0,0,0,0,1,0,7,1
"94",5417677,1995,3,3,12,5,0,0.56,2.3333,5.8,1,0,0,1,0,0,0,3,0
"95",5187004,1993,3,1,14,2,0,0.5,5.3333,7,1,1,0,0,0,0,0,3,0
"96",5435314,1995,9,3,13,3,0.5679,0.4444,2.1111,2.6667,1,0,0,1,0,0,0,9,1
"97",5400746,1995,8,5,17,7,0,0.449,2.875,10.7143,1,0,0,0,0,1,0,8,1
"98",5344687,1994,1,6,12,4,0,0.375,6,7.5,1,0,0,0,0,0,1,1,0
"99",4894604,1990,6,4,7,7,0.6111,0.5,6.1667,11.7143,1,0,0,0,1,0,0,6,1
"100",5047340,1991,3,3,18,3,0.4444,0,5.3333,8.3333,1,0,0,1,0,0,0,3,0
"101",5239198,1993,52,4,35,8,0.6257,0.4063,3.8846,4.25,1,0,0,0,1,0,0,15,1
"102",5053665,1991,5,4,1,6,0,0.4444,5.6,32.3333,1,0,0,0,1,0,0,5,1
"103",4994050,1991,2,3,27,19,0,0.1884,4.5,7.2105,1,0,0,1,0,0,0,2,0
"104",5002746,1991,6,1,9,14,0.5,0,3.5,11.6429,1,1,0,0,0,0,0,6,1
"105",5111919,1992,0,6,1,8,0,0.72,10.5,21.875,0,0,0,0,0,0,1,0,0
"106",5228978,1993,1,1,19,4,0,0,0,3,1,1,0,0,0,0,0,1,0
"107",4949226,1990,8,4,15,5,0,0,3.25,2,1,0,0,0,1,0,0,8,1
"108",4894710,1990,0,4,8,11,0,0.314,10.5,7,0,0,0,0,1,0,0,0,0
"109",5249430,1993,0,6,16,1,0,0,10.5,6,0,0,0,0,0,0,1,0,0
"110",5210786,1993,16,2,2,11,0.3047,0.5455,3.75,6.5455,1,0,1,0,0,0,0,15,1
"111",5345000,1994,3,1,20,4,0,0,2.3333,6.5,1,1,0,0,0,0,0,3,0
"112",5398825,1995,0,5,12,17,0,0.6627,10.5,22.0588,0,0,0,0,0,1,0,0,0
"113",5217317,1993,9,6,14,16,0.716,0.5926,5,32.875,1,0,0,0,0,0,1,9,1
"114",5375303,1994,0,6,10,12,0,0,10.5,31,0,0,0,0,0,0,1,0,0
"115",5388014,1995,6,2,15,9,0,0.1975,3.5,11.1111,1,0,1,0,0,0,0,6,1
"116",5346448,1994,3,5,20,23,0.4444,0,3.6667,13.7391,1,0,0,0,0,1,0,3,0
"117",5023117,1991,1,6,8,7,0,0.625,6,27.4286,1,0,0,0,0,0,1,1,0
"118",5128901,1992,4,2,45,7,0.625,0,4.5,13.5714,1,0,1,0,0,0,0,4,1
"119",4928340,1990,2,6,9,8,0,0.2778,5,21.875,1,0,0,0,0,0,1,2,0
"120",5007108,1991,6,6,18,9,0,0,4.1667,12.1111,1,0,0,0,0,0,1,6,1
"121",5131263,1992,6,4,9,4,0,0.625,4.3333,5.5,1,0,0,0,1,0,0,6,1
"122",5432551,1995,4,4,13,3,0.625,0.6667,5.25,8,1,0,0,0,1,0,0,4,1
"123",5026771,1991,3,1,26,7,0.6667,0.6122,1.6667,6.8571,1,1,0,0,0,0,0,3,0
"124",5281218,1994,89,3,9,7,0.6105,0.4082,3.4045,4.4286,1,0,0,1,0,0,0,15,1
"125",5064451,1991,5,1,11,15,0.32,0.6446,5.2,21,1,1,0,0,0,0,0,5,1
"126",5146117,1992,5,4,17,4,0.56,0.375,4.8,8,1,0,0,0,1,0,0,5,1
"127",5300729,1994,3,6,14,9,0,0,5.3333,6,1,0,0,0,0,0,1,3,0
"128",5371283,1994,5,1,20,4,0.48,0.625,3,6.25,1,1,0,0,0,0,0,5,1
"129",5046985,1991,5,6,6,27,0.32,0.2778,5.4,40.1111,1,0,0,0,0,0,1,5,1
"130",5020592,1991,4,6,9,10,0,0,4.5,6.1,1,0,0,0,0,0,1,4,1
"131",4977968,1990,1,6,33,3,0,0.4444,5,3.6667,1,0,0,0,0,0,1,1,0
"132",5071357,1991,4,4,17,15,0,0.2722,2.5,16.4667,1,0,0,0,1,0,0,4,1
"133",5409404,1995,4,4,5,8,0.375,0.4688,2.25,17.375,1,0,0,0,1,0,0,4,1
"134",5283501,1994,16,4,34,7,0.7734,0.7755,3.6875,10.7143,1,0,0,0,1,0,0,15,1
"135",5276019,1994,30,3,43,3,0.6373,0.4444,7.2069,13.6667,1,0,0,1,0,0,0,15,1
"136",5225851,1993,5,2,13,8,0.48,0.6875,4.8,6.375,1,0,1,0,0,0,0,5,1
"137",5364693,1994,7,1,38,36,0.6939,0.8228,2.7143,12.2778,1,1,0,0,0,0,0,7,1
"138",5470544,1995,4,1,6,3,0.625,0,2.75,20.6667,1,1,0,0,0,0,0,4,1
"139",5415757,1995,9,1,23,9,0.1975,0.375,2.7778,9.5556,1,1,0,0,0,0,0,9,1
"140",5309827,1994,2,6,14,14,0,0.5455,4,22.9286,1,0,0,0,0,0,1,2,0
"141",4991134,1991,15,2,26,11,0.5867,0.5785,1.5333,8.7273,1,0,1,0,0,0,0,15,1
"142",5402357,1995,16,2,10,4,0,0,4.1875,3.25,1,0,1,0,0,0,0,15,1
"143",4946439,1990,25,3,15,12,0.6592,0.2917,5.92,7.5833,1,0,0,1,0,0,0,15,1
"144",5313819,1994,0,4,9,6,0,0,10.5,4.3333,0,0,0,0,1,0,0,0,0
"145",5312761,1994,1,1,19,10,0,0.66,4,15.9,1,1,0,0,0,0,0,1,0
"146",5447914,1995,12,3,4,0,0.6111,1,4.0833,85.1429,1,0,0,1,0,0,0,12,1
"147",5109938,1992,2,5,18,5,0.5,0,5,35.8,1,0,0,0,0,1,0,2,0
"148",5162719,1992,22,4,3,4,0.4504,0,3.1818,4.5,1,0,0,0,1,0,0,15,1
"149",4899458,1990,5,6,19,11,0.32,0.5185,5.2,18.2727,1,0,0,0,0,0,1,5,1
"150",5169735,1992,4,4,29,21,0.5,0.3045,4,23.8571,1,0,0,0,1,0,0,4,1
"151",4903445,1990,11,6,16,6,0.2975,0,3.9091,14,1,0,0,0,0,0,1,11,1
"152",4949692,1990,9,5,6,5,0,0.48,6.1111,3.6,1,0,0,0,0,1,0,9,1
"153",4971196,1990,14,6,19,29,0.6224,0.6982,4.5714,10.7241,1,0,0,0,0,0,1,14,1
"154",5459342,1995,5,4,10,7,0.48,0.5714,3.2,1.4286,1,0,0,0,1,0,0,5,1
"155",5394596,1995,3,6,24,3,0.4444,0,2.3333,41.6667,1,0,0,0,0,0,1,3,0
"156",5294497,1994,1,4,7,4,0,0.375,3,17.25,1,0,0,0,1,0,0,1,0
"157",5117630,1992,1,4,8,4,0,0.375,1,5.5,1,0,0,0,1,0,0,1,0
"158",5243347,1993,8,2,17,7,0,0,3.125,7.1429,1,0,1,0,0,0,0,8,1
"159",5382082,1995,1,6,15,4,0,0.5,4,8.75,1,0,0,0,0,0,1,1,0
"160",5081805,1992,6,6,8,15,0.5,0.6154,4,17.7333,1,0,0,0,0,0,1,6,1
"161",5323937,1994,2,1,9,8,0,0.2449,4,14.75,1,1,0,0,0,0,0,2,0
"162",4932275,1990,1,5,6,7,0,0.625,7,18.1429,1,0,0,0,0,1,0,1,0
"163",5342548,1994,0,1,4,12,0,0.7778,10.5,11.8333,0,1,0,0,0,0,0,0,0
"164",5199102,1993,9,2,1,2,0.6173,0,2.1111,4.5,1,0,1,0,0,0,0,9,1
"165",5164403,1992,1,3,26,0,0,1,6,85.1429,1,0,0,1,0,0,0,1,0
"166",5471991,1995,4,3,10,5,0.75,0.32,3,5,1,0,0,1,0,0,0,4,1
"167",4965812,1990,5,6,11,4,0.32,0,4.2,6.5,1,0,0,0,0,0,1,5,1
"168",5029729,1991,2,1,6,20,0.5,0.8203,6.5,19.35,1,1,0,0,0,0,0,2,0
"169",5368959,1994,7,4,12,11,0.2449,0.2975,2.5714,6.5455,1,0,0,0,1,0,0,7,1
"170",5079783,1992,3,6,14,26,0,0.1049,3.3333,26.8462,1,0,0,0,0,0,1,3,0
"171",4975475,1990,7,1,6,3,0.6122,0.6667,3.7143,5,1,1,0,0,0,0,0,7,1
"172",5218647,1993,4,2,10,6,0.375,0.6111,3.25,3,1,0,1,0,0,0,0,4,1
"173",5101020,1992,5,1,1,1,0.56,1,4.4,41,1,1,0,0,0,0,0,5,1
"174",5036134,1991,1,1,10,1,0,0,1,25,1,1,0,0,0,0,0,1,0
"175",5174140,1992,1,6,6,7,0,0,2,32.5714,1,0,0,0,0,0,1,1,0
"176",5049846,1991,5,4,4,6,0.48,0.2778,1.8,9.1667,1,0,0,0,1,0,0,5,1
"177",5414562,1995,10,5,8,1,0.32,0,2.3,1,1,0,0,0,0,1,0,10,1
"178",5422815,1995,6,2,8,5,0.2778,0.56,2.8333,2,1,0,1,0,0,0,0,6,1
"179",5217536,1993,3,1,4,6,0.6667,0.625,4.3333,24.1667,1,1,0,0,0,0,0,3,0
"180",5034222,1991,16,3,24,16,0.8203,0.8,3.9375,10.6875,1,0,0,1,0,0,0,15,1
"181",4975173,1990,7,1,33,8,0.2449,0,4.2857,14.5,1,1,0,0,0,0,0,7,1
"182",5277381,1994,0,5,5,5,0,0,10.5,30.8,0,0,0,0,0,1,0,0,0
"183",5284452,1994,0,6,7,5,0,0.72,10.5,9.2,0,0,0,0,0,0,1,0,0
"184",5298400,1994,0,3,11,1,0,0,10.5,9,0,0,0,1,0,0,0,0,0
"185",5236300,1993,2,5,9,7,0.5,0.56,4,18.7143,1,0,0,0,0,1,0,2,0
"186",5200988,1993,15,2,22,23,0.8178,0.3743,3.7333,10.7391,1,0,1,0,0,0,0,15,1
"187",5442281,1995,1,4,37,26,0,0.8128,3,13.0769,1,0,0,0,1,0,0,1,0
"188",5253472,1993,2,4,5,11,0,0.64,5,29.4545,1,0,0,0,1,0,0,2,0
"189",5264011,1993,7,5,20,10,0.8163,0.48,3,8.3,1,0,0,0,0,1,0,7,1
"190",5388179,1995,0,4,3,7,0,0.5,10.5,50.8571,0,0,0,0,1,0,0,0,0
"191",5336122,1994,0,6,10,5,0,0.5,10.5,44.2,0,0,0,0,0,0,1,0,0
"192",5001514,1991,0,5,16,6,0,0,10.5,11.6667,0,0,0,0,0,1,0,0,0
"193",5478540,1995,0,1,20,8,0,0.64,10.5,24,0,1,0,0,0,0,0,0,0
"194",5090274,1992,3,5,6,8,0,0,2.3333,30.625,1,0,0,0,0,1,0,3,0
"195",5440360,1995,0,3,11,13,0,0,10.5,18.5385,0,0,0,1,0,0,0,0,0
"196",5065186,1991,1,4,6,11,0,0.7769,2,5.8182,1,0,0,0,1,0,0,1,0
"197",5193431,1993,4,5,9,6,0.625,0.5,4.75,10,1,0,0,0,0,1,0,4,1
"198",5019505,1991,1,3,8,4,0,0,8,10,1,0,0,1,0,0,0,1,0
"199",5137983,1992,0,1,10,9,0,0.6122,10.5,22.4444,0,1,0,0,0,0,0,0,0
"200",5432155,1995,8,3,13,3,0.4063,0.6667,3.625,5.3333,1,0,0,1,0,0,0,8,1
"201",4891904,1990,1,6,3,3,0,0,3,10.3333,1,0,0,0,0,0,1,1,0
"202",5232267,1993,5,6,1,6,0.64,0.375,4.2,26.3333,1,0,0,0,0,0,1,5,1
"203",5424770,1995,13,4,31,20,0.6154,0.42,1.2308,8.1,1,0,0,0,1,0,0,13,1
"204",5293745,1994,0,4,13,28,0,0.5778,10.5,32.6071,0,0,0,0,1,0,0,0,0
"205",5240109,1993,16,6,60,11,0.375,0.5714,3.625,31,1,0,0,0,0,0,1,15,1
"206",4990504,1991,1,3,6,0,0,1,6,85.1429,1,0,0,1,0,0,0,1,0
"207",5366618,1994,2,1,14,15,0.5,0.3704,2,36.8667,1,1,0,0,0,0,0,2,0
"208",5247475,1993,1,2,5,4,0,0,4,21.25,1,0,1,0,0,0,0,1,0
"209",5320214,1994,1,5,23,5,0,0.72,2,10,1,0,0,0,0,1,0,1,0
"210",5071151,1991,2,5,13,5,0.5,0.4444,6,27.4,1,0,0,0,0,1,0,2,0
"211",5382752,1995,3,4,17,14,0,0.4028,3.6667,18.1429,1,0,0,0,1,0,0,3,0
"212",5453721,1995,1,2,3,0,0,1,4,85.1429,1,0,1,0,0,0,0,1,0
"213",5446626,1995,3,4,16,7,0.4444,0.7347,2.3333,6.1429,1,0,0,0,1,0,0,3,0
"214",5327323,1994,3,4,3,4,0.4444,0.625,3.6667,5.25,1,0,0,0,1,0,0,3,0
"215",5267775,1993,4,6,11,12,0.625,0.4861,4,8.5,1,0,0,0,0,0,1,4,1
"216",4942817,1990,2,1,9,4,0,0.375,3,9.75,1,1,0,0,0,0,0,2,0
"217",5434150,1995,7,3,8,3,0.2449,0.6667,4.1429,14.3333,1,0,0,1,0,0,0,7,1
"218",5346131,1994,3,5,11,3,0,0,1.6667,9.6667,1,0,0,0,0,1,0,3,0
"219",5033791,1991,7,6,9,4,0,0,5.7143,3.25,1,0,0,0,0,0,1,7,1
"220",5453218,1995,1,1,46,1,0,0,1,4,1,1,0,0,0,0,0,1,0
"221",5007984,1991,11,1,5,3,0.6116,0.4444,4.9091,8,1,1,0,0,0,0,0,11,1
"222",5471628,1995,3,2,11,21,0.4444,0.6939,4.6667,8.4762,1,0,1,0,0,0,0,3,0
"223",4930723,1990,4,5,6,4,0,0,1,3.75,1,0,0,0,0,1,0,4,1
"224",5421019,1995,6,2,43,30,0.6111,0.8089,3.3333,11.1333,1,0,1,0,0,0,0,6,1
"225",5010871,1991,2,3,6,5,0,0.4444,5.5,24,1,0,0,1,0,0,0,2,0
"226",5290293,1994,6,3,13,19,0,0.5928,2.3333,4,1,0,0,1,0,0,0,6,1
"227",5414222,1995,3,4,4,3,0.6667,0.4444,1.3333,8.6667,1,0,0,0,1,0,0,3,0
"228",5173213,1992,3,1,5,10,0.6667,0.6,3.6667,8.2,1,1,0,0,0,0,0,3,0
"229",5213596,1993,8,1,12,5,0.2188,0.56,4,9.8,1,1,0,0,0,0,0,8,1
"230",4956672,1990,3,5,5,23,0.6667,0.5028,4,7.1739,1,0,0,0,0,1,0,3,0
"231",5041757,1991,4,4,19,8,0.625,0.4063,1,7.5,1,0,0,0,1,0,0,4,1
"232",5103103,1992,2,4,26,4,0.5,0.75,2.5,11.75,1,0,0,0,1,0,0,2,0
"233",5074003,1991,4,1,21,12,0.625,0.4861,5.5,19.5833,1,1,0,0,0,0,0,4,1
"234",4905950,1990,5,6,24,17,0.8,0.6,4.2,30.7059,1,0,0,0,0,0,1,5,1
"235",5341257,1994,3,2,3,1,0,0,3.3333,1,1,0,1,0,0,0,0,3,0
"236",5034328,1991,4,3,1,1,0.625,0,4.75,4,1,0,0,1,0,0,0,4,1
"237",5042990,1991,1,1,6,16,0,0.56,3,13.25,1,1,0,0,0,0,0,1,0
"238",4960657,1990,2,4,2,3,0,0,4,14,1,0,0,0,1,0,0,2,0
"239",4977964,1990,0,6,15,12,0,0.6942,10.5,16.9167,0,0,0,0,0,0,1,0,0
"240",5005986,1991,5,4,12,7,0.32,0.8163,3.4,7.1429,1,0,0,0,1,0,0,5,1
"241",5140820,1992,2,4,3,2,0.5,0,5.5,13,1,0,0,0,1,0,0,2,0
"242",5462141,1995,3,5,43,24,0,0.741,3.3333,15.5833,1,0,0,0,0,1,0,3,0
"243",4897671,1990,11,2,10,3,0.314,0.6667,1.7273,13.6667,1,0,1,0,0,0,0,11,1
"244",5379132,1995,3,5,18,23,0.6667,0.4764,2.3333,10.3478,1,0,0,0,0,1,0,3,0
"245",5285812,1994,9,6,10,14,0.1975,0.2551,3.5556,18.4286,1,0,0,0,0,0,1,9,1
"246",5013462,1991,7,6,24,30,0.7755,0.7526,3.7143,11.7,1,0,0,0,0,0,1,7,1
"247",5241299,1993,13,2,13,25,0.8047,0.672,3.3846,6.2,1,0,1,0,0,0,0,13,1
"248",4928261,1990,1,2,4,5,0,0,9,4.6,1,0,1,0,0,0,0,1,0
"249",5031729,1991,12,5,10,16,0.5694,0.66,5.1667,31.1875,1,0,0,0,0,1,0,12,1
"250",5034322,1991,17,3,31,2,0.4637,0,5.7059,7,1,0,0,1,0,0,0,15,1
"251",5402400,1995,5,2,23,6,0.56,0.2778,2.4,3,1,0,1,0,0,0,0,5,1
"252",5162025,1992,0,5,6,12,0,0.6446,10.5,12.8333,0,0,0,0,0,1,0,0,0
"253",4977382,1990,3,2,24,5,0.6667,0,7.3333,4.4,1,0,1,0,0,0,0,3,0
"254",5016764,1991,3,6,24,11,0,0.6914,6,16.7273,1,0,0,0,0,0,1,3,0
"255",5301661,1994,1,3,9,8,0,0.4082,3,13.75,1,0,0,1,0,0,0,1,0
"256",5423766,1995,10,3,14,5,0,0,2.6,2,1,0,0,1,0,0,0,10,1
"257",5018215,1991,12,2,12,6,0.6944,0.7778,3.75,4.8333,1,0,1,0,0,0,0,12,1
"258",5187629,1993,0,2,20,5,0,0.48,10.5,8.8,0,0,1,0,0,0,0,0,0
"259",5195688,1993,1,5,12,8,0,0.6111,2,29,1,0,0,0,0,1,0,1,0
"260",4994036,1991,17,3,11,8,0.1107,0.449,4.0588,8.125,1,0,0,1,0,0,0,15,1
"261",5476520,1995,0,5,8,4,0,0.625,10.5,11.5,0,0,0,0,0,1,0,0,0
"262",4985846,1991,4,2,5,14,0.625,0.6122,5.75,7.1429,1,0,1,0,0,0,0,4,1
"263",5084345,1992,3,6,5,16,0.4444,0.8594,3.3333,7.25,1,0,0,0,0,0,1,3,0
"264",5218002,1993,2,3,3,2,0,0.5,3.5,18,1,0,0,1,0,0,0,2,0
"265",5237009,1993,2,1,4,7,0.5,0.449,5,6,1,1,0,0,0,0,0,2,0
"266",5230521,1993,5,6,2,16,0,0.3467,3.2,9.875,1,0,0,0,0,0,1,5,1
"267",5170875,1992,2,5,16,6,0,0,5,62.3333,1,0,0,0,0,1,0,2,0
"268",4962087,1990,6,4,10,1,0.2778,0,5,8,1,0,0,0,1,0,0,6,1
"269",4993456,1991,4,6,14,12,0.625,0.6,2.5,19.1667,1,0,0,0,0,0,1,4,1
"270",4899107,1990,62,4,16,4,0.5708,0.375,6.4032,4.5,1,0,0,0,1,0,0,15,1
